Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
MechWarrior 5: Mercenaries;73;37;54;Piranha Games;Vehicle Combat Sim;10/12/2019
Medal of Honor Airborne;73;54;71;Electronic Arts;FPS;04/09/2007
Medal of Honor Allied Assault War Chest;;;77;Various;FPS;02/03/2004
Medieval Dynasty;73;15;66;Render Cube;Survival;17/12/2020
Merge & Blade;;;61;Magic Cube;Action Puzzle;28/02/2023
Metal Slug Tactics;78;36;69;Leikir Studio - Leikir Studio;Turn-Based Tactics;05/11/2024
Microsoft Flight Simulator 40th Anniversary Ed.;;;70;Asobo Studio;Aircraft Sim;11/11/2022
Microsoft Flight Simulator 2024;77;33;48;Asobo Studio;Aircraft Sim;19/11/2024
Microsoft Solitaire Collection;;;70;Microsoft Game Studios;Board;17/08/2021
Middle-earth: Shadow of War;80;73;52;Monolith Productions;Open-World Action;10/10/2017
Minecraft Dungeons;70;56;66;Mojang AB;Action RPG;26/05/2020
Minecraft;93;33;82;Mojang AB;Sandbox;18/11/2011
Minecraft Legends;71;65;57;Mojang AB - Blackbird Interactive;Real-Time Strategy;18/04/2023
Mirror's Edge;79;82;77;EA DICE;Action Adventure;11/11/2008
Mirror's Edge Catalyst;69;52;59;EA DICE;Action Adventure;07/06/2016
MLB The Show 24;80;34;41;San Diego Studio;Baseball Sim;19/03/2024
Monster Hunter Rise;88;130;85;Capcom;Action RPG;26/03/2021
Monster Sanctuary;74;11;79;Moi Rai Games;Action Adventure;08/12/2020
Moonlighter;81;28;72;Digital Sun;Action RPG;29/05/2018
Mortal Kombat 11;82;88;41;NetherRealm Studios;2D Fighting;23/04/2019
Mount & Blade II: Bannerlord;77;25;80;Taleworlds Entertainment;Western RPG;25/10/2022
Moving Out 2;80;17;65;SMG Studio;Virtual Career;15/08/2023
My Friend Peppa Pig;;;67;PETOONS STUDIO SL;Adventure;22/10/2021
My Time at Sandrock;80;18;76;Pathea Games;RPG;02/11/2023
NBA Live 19;73;27;65;EA Tiburon;Basketball Sim;07/09/2018
Need for Speed Rivals;80;53;63;Ghost Games;Auto Racing Sim;15/11/2013
